Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
Kroger Pharmacy 01100619,Spalding,0,0,1300,"200"
Spalding County Health Department,Spalding,5850,9750,0,"0"
the bland companygriffin,Spalding,0,0,0,"0"
U Save It Pharmacy - Griffin,Spalding,0,0,700,"400"
walmart store 932,Spalding,0,0,0,"0"
Wellstar Spalding Regional Hospital,Spalding,11700,975,10000,"500"
Wynn's Pharmacy,Spalding,0,975,800,"100"
Ingles Pharmacy #436,Stephens,0,0,1000,"700"
Ngpg Toccoa Pediatrics,Stephens,0,0,3000,"0"
Pruitthealth Pharmacy Services Toccoa,Stephens,0,0,400,"0"
Stephens County Health Department,Stephens,0,0,8300,"3100"
Stephens County Hospital,Stephens,2925,3900,1200,"1300"
walmart 1122,Stephens,0,0,0,"0"
Stewart County Health Department,Stewart,0,0,1400,"1500"
Stewart Detention Center,Stewart,3900,0,3600,"300"
U Save It Pharmacy - Richland,Stewart,0,0,400,"400"
Clinic Drug Store,Sumter,0,0,2800,"500"
davita americus dialysis,Sumter,0,0,0,"0"
Doctor's Pharmacy,Sumter,0,0,200,"0"
herschel a smith health center ga sout,Sumter,0,0,600,"0"
Phoebe Sumter Medical Center,Sumter,17550,2925,15100,"2300"
Sumter County Health Department,Sumter,0,0,2500,"1600"
Sumter Pediatrics - Americus,Sumter,0,0,300,"200"
Walgreens #11106,Sumter,0,0,800,"300"
walmart store 758,Sumter,0,0,0,"0"
Talbot County Health Department,Talbot,0,0,4900,"1600"
chcs inc,Taliaferro,0,0,0,"0"
Taliaferro County Health Department,Taliaferro,0,0,1500,"1600"
East Georgia Healthcare Center,Tattnall,0,0,1700,"900"
Glenvue Health And Rehabilitation,Tattnall,0,0,400,"300"
Optim Medical Center Tattnall,Tattnall,975,975,1200,"400"
optim primary care reidsville,Tattnall,0,0,0,"0"
Southern Medical Group,Tattnall,0,0,400,"200"
Strickland's Pharmacy,Tattnall,0,0,4500,"700"
Tattnall Co Health Dept - Glennville,Tattnall,0,0,1600,"1400"
Tattnall Co Health Dept - Reidsville,Tattnall,0,0,1700,"1400"
Butler - Careconnect Family Practice,Taylor,0,0,700,"300"
Knight'S Pharmacy,Taylor,0,0,800,"800"
Smith's Pharmacy And Home Health,Taylor,0,0,1200,"0"
Taylor County Health Department,Taylor,0,0,4200,"2000"
community health care systems inc mcrae,Telfair,0,0,0,"0"
Mcrae Correctional Facility,Telfair,0,0,1000,"0"
Telfair County Health Department,Telfair,0,0,4200,"3600"
Moseley Drug Company,Terrell,0,0,400,"400"
Terrell County Health Department,Terrell,0,0,1200,"1500"
brooks county hospital,Thomas,0,0,0,"0"
John D. Archbold Memorial Hospital,Thomas,17550,13650,15000,"6800"
Mcintosh Clinic,Thomas,0,0,100,"200"
pediatric center,Thomas,0,0,0,"0"
Primary Care Of Southwest Georgia Thomasville,Thomas,0,0,500,"500"
Publix Pharmacy#1498,Thomas,0,0,1200,"600"
rose city pharmacy,Thomas,0,0,0,"0"
Thomas County Health Department,Thomas,0,0,2900,"3800"
Thomasville Family Medicine Center,Thomas,0,0,3100,"1000"
walgreens 11794,Thomas,0,0,0,"0"
davita tifton dialysis,Tift,0,0,0,"0"
Family Prime Care Llc,Tift,0,0,300,"100"
"Moon's Pharmacy, Inc.",Tift,3900,1950,1800,"400"
New Medical Center/Kidscare Clinic,Tift,0,0,3800,"700"
Omega Pharmacy,Tift,0,0,1200,"300"
Publix Pharmacy#1422,Tift,0,0,1000,"300"
Tift County Board Of Health Dba Diversified Enterprises Tift,0,0,400,"400",NA
Tift County Health Department,Tift,0,0,3800,"2500"
Tift Regional Health System,Tift,25350,9750,19800,"1200"
Tifton Drug Company,Tift,31200,2925,1600,"400"
uga tifton lab,Tift,0,4875,0,"0"
walmart 1072,Tift,0,0,0,"0"
walmart store 5198,Tift,0,0,0,"0"
Allergy Asthma Clinic Of Southeast Ga,Toombs,0,0,2500,"0"
Fresenius Medical Care Of Toombs County,Toombs,0,0,200,"200"
Meadows Regional Medical Center,Toombs,0,0,3500,"1300"
Toombs County Health Department,Toombs,0,0,2300,"1800"
vidalia pediatric clinic,Toombs,0,0,0,"0"
walmart store 864,Toombs,0,0,0,"0"
Chatuge Regional Hospital,Towns,0,0,600,"600"
edwards medical practice llc,Towns,0,0,0,"0"
Ingles Pharmacy #483,Towns,0,0,1000,"700"
"Synergy Health, Inc.",Towns,0,0,4200,"1200"
Towns County Health Department,Towns,0,0,8000,"2000"
Treutlen County Health Department,Treutlen,0,0,2000,"2200"
Holmes Pharmacy,Troup,0,0,3000,"1000"
holmes pharmacy at sawmill,Troup,0,0,0,"0"
Kroger Pharmacy 01100339,Troup,0,0,1400,"200"
lagrange internal medicine,Troup,0,0,5000,"0"
new renality lagrange,Troup,0,0,0,"0"
Publix Pharmacy#0540,Troup,0,0,1000,"400"
the medicine cabinet,Troup,0,0,200,"0"
Troup County Health Department,Troup,0,0,8700,"4600"
Urgencare Clinic,Troup,0,0,100,"100"
vernon st,Troup,0,0,200,"0"
walmart store 2773,Troup,0,0,0,"0"
walmart store 614,Troup,0,0,0,"0"
we carelagrange college campus,Troup,0,0,0,"0"
Ashburn Family Pharmacy,Turner,0,0,200,"0"
Turner County Health Department,Turner,0,0,2600,"1900"
"Community Health Care Systems, Inc- Twiggs",Twiggs,0,0,300,"200"
Twiggs County Health Department,Twiggs,0,0,3100,"1900"
Blairsville Internal Medicine,Union,0,0,4700,"400"
brasstown professional pharmacy,Union,0,0,0,"0"
Ingles Pharmacy #98,Union,0,0,1300,"1000"
mary elizabeth wiles do pc,Union,0,0,4300,"300"
Union County Health Department,Union,0,0,9900,"2800"
Union General Hospital Inc.,Union,0,0,1400,"1400"
walmart store 3485,Union,0,0,0,"0"
Ingles Pharmacy #449,Upson,0,0,1000,"700"
Upson County Health Department,Upson,9750,3900,500,"500"
Upson Regional Medical Center,Upson,11700,10725,0,"200"
walmart 1112,Upson,0,0,0,"0"
zoe center for pediatrics and adolescent healthllc,Upson,2925,0,2000,"0"
dialysis clinic inclafayette,Walker,0,0,0,"0"
Food City Pharmacy #217,Walker,0,0,700,"100"
Food City Pharmacy #252,Walker,0,0,700,"100"
ledford rx express pharmacy,Walker,0,0,100,"0"
Primary Healthcare Center Of Rossville,Walker,0,0,1500,"1200"
Walker County Health Department,Walker,0,0,12200,"4800"
walmart store 2988,Walker,0,0,0,"0"
Carmichael Drugs,Walton,0,0,1200,"0"
"David A. Fields, Md Family Care, Pc",Walton,0,0,100,"0"
Dr Siruvella Md Pc,Walton,0,0,900,"100"
Fkc Walton,Walton,0,0,100,"0"
fresenius kidney care loganville dialysi,Walton,0,0,0,"0"
Kroger Pharmacy 01100679,Walton,0,0,1500,"500"
loganville county health department,Walton,0,0,0,"0"
Loganville Family Medicine,Walton,0,0,600,"100"
Medlink Georgia - Monroe,Walton,0,0,400,"500"
Our Family Health Center,Walton,0,0,1600,"200"
Piedmont Walton Hospital,Walton,0,0,8500,"1800"
Publix Pharmacy#0603,Walton,0,0,1300,"900"
twin lakes recoery center,Walton,0,0,0,"0"
walgreens 11539,Walton,0,0,0,"0"
walgreens 9629,Walton,0,0,0,"0"
walmart store 780,Walton,0,0,0,"0"
Walton County Emergency Management Agency,Walton,0,0,100,"0"
Walton County Health Dept,Walton,0,0,3000,"400"
walton family medicine,Walton,0,0,400,"0"
fresenius kidney care waycross,Ware,0,0,0,"0"
Kroger Pharmacy 439,Ware,0,0,1300,"300"
Mckinney Medical Center,Ware,0,0,300,"100"
Memorial Satilla Health,Ware,0,0,1300,"1300"
walmart store 4527,Ware,0,0,0,"0"
walmart store 556,Ware,0,0,0,"0"
Ware County Health Department,Ware,0,0,10300,"4500"
"Community Health Care Systems, Inc- Warren",Warren,0,0,300,"400"
Warren County Health Department,Warren,0,0,1700,"1800"
"Nightingale Infusion, Inc",Washington,2925,1950,600,"200"
sandersville community health ctr,Washington,0,0,0,"0"
sandersville dialysis llc,Washington,0,0,0,"0"
Tennille Community Health Center,Washington,0,0,500,"500"
walmart 1143,Washington,0,0,0,"0"
Washington County Health Department,Washington,0,0,7100,"2700"
Washington County Regional Medical Center,Washington,0,0,3300,"800"
Diversity Health Center,Wayne,0,0,100,"100"
Misty's Pharmacy,Wayne,0,0,1200,"100"
The Pediatric Center,Wayne,0,0,100,"0"
Walmart Store 2630,Wayne,0,0,1000,"700"
Wayne County Health Department,Wayne,0,0,2100,"1900"
Wayne Memorial Hospital,Wayne,0,0,600,"900"
Webster County Health Department,Webster,0,0,4400,"1300"
Alamo - Careconnect Family Practice,Wheeler,0,0,500,"400"
Wheeler County Health Department,Wheeler,0,0,1900,"2000"
Cleveland Drug Company,White,0,0,1800,"200"
Ingles Pharmacy #489,White,0,0,1100,"800"
Medlink Georgia - White,White,0,0,800,"700"
Ngpg Cleveland,White,0,0,1500,"0"
walmart store 4616,White,0,0,0,"0"
White County Health Department,White,0,0,6600,"2000"
brown health and wellness center,Whitfield,0,0,0,"0"
"Cornerstone Medical Group, P.C.",Whitfield,1950,0,3500,"300"
Dalton Family Practice,Whitfield,0,0,1500,"600"
dalton state college ken white student h,Whitfield,0,0,100,"0"
Family Pharmacy,Whitfield,975,0,0,"0"
Food City Pharmacy #211,Whitfield,0,0,700,"100"
Hamilton Ems,Whitfield,0,0,300,"300"
Hamilton Medical Center,Whitfield,5850,8775,1900,"1100"
Kroger Pharmacy 01100265,Whitfield,0,0,1100,"600"
Kroger Pharmacy 01100458,Whitfield,0,0,1400,"800"
shaw family health center,Whitfield,0,0,0,"0"
shaw industries group inc,Whitfield,0,0,0,"0"
sutton family pharmacy,Whitfield,0,0,0,"0"
walgreens 11994,Whitfield,0,0,0,"0"
walgreens 5954,Whitfield,0,0,0,"0"
walmart store 4528,Whitfield,0,0,0,"0"
walmart store 5173,Whitfield,0,0,0,"0"
Whitfield County Health Department,Whitfield,48750,22425,33400,"6900"
Wilcox County Health Department,Wilcox,0,0,1100,"1500"
Fievet Pharmacy,Wilkes,975,0,1000,"0"
Wilkes County Health Department,Wilkes,0,0,3100,"2900"
"Community Health Care Systems, Inc- Wilkinson",Wilkinson,0,0,200,"200"
"Gordon's Drugs, Inc",Wilkinson,0,0,14300,"500"
Wilkinson County Health Department,Wilkinson,0,0,3300,"1800"
Glenn's Corner Pharmacy,Worth,0,0,400,"0"
Phoebe Worth Medical Center,Worth,17550,2925,15000,"800"
walmart store 7245,Worth,0,0,0,"0"
Worth County Health Department,Worth,0,0,1700,"2100"
